Dataset: UWaveGestureLibrary
Arguments: Namespace(batch_size=8, dataset='UWaveGestureLibrary', epochs=1000, eval=True, gpu=1, irregular=0, iters=None, loader='UEA', lr=0.001, max_threads=8, max_train_length=3000, repr_dims=320, run_name='UEA', save_every=None, seed=42)
Loading data... done
Epoch #46: train loss = 0.727254, val loss = 0.226173, total loss = 0.362832, Epoch time: 0.72 seconds, remaining time: 11.62 minutes
Epoch #47: train loss = 0.598925, val loss = 0.164263, total loss = 0.282807, Epoch time: 0.74 seconds, remaining time: 11.67 minutes
Epoch #48: train loss = 0.661488, val loss = 0.213990, total loss = 0.336035, Epoch time: 0.73 seconds, remaining time: 11.65 minutes
Epoch #49: train loss = 0.648696, val loss = 0.206928, total loss = 0.327410, Epoch time: 0.73 seconds, remaining time: 11.63 minutes
Epoch #50: train loss = 0.792024, val loss = 0.279096, total loss = 0.418985, Epoch time: 0.72 seconds, remaining time: 11.61 minutes
Epoch #51: train loss = 0.709460, val loss = 0.195809, total loss = 0.335896, Epoch time: 0.73 seconds, remaining time: 11.58 minutes
Epoch #52: train loss = 0.608337, val loss = 0.178308, total loss = 0.295589, Epoch time: 0.74 seconds, remaining time: 11.56 minutes
Epoch #53: train loss = 0.698587, val loss = 0.220844, total loss = 0.351138, Epoch time: 0.72 seconds, remaining time: 11.52 minutes
Epoch #54: train loss = 0.651049, val loss = 0.194542, total loss = 0.319044, Epoch time: 0.72 seconds, remaining time: 11.47 minutes
Epoch #55: train loss = 0.615771, val loss = 0.176988, total loss = 0.296656, Epoch time: 0.75 seconds, remaining time: 11.47 minutes
Epoch #56: train loss = 0.615030, val loss = 0.205492, total loss = 0.317184, Epoch time: 0.74 seconds, remaining time: 11.50 minutes
Epoch #57: train loss = 0.660819, val loss = 0.196638, total loss = 0.323233, Epoch time: 0.72 seconds, remaining time: 11.46 minutes
Epoch #58: train loss = 0.537775, val loss = 0.169501, total loss = 0.269939, Epoch time: 0.74 seconds, remaining time: 11.47 minutes
Epoch #59: train loss = 0.764648, val loss = 0.318912, total loss = 0.440477, Epoch time: 0.73 seconds, remaining time: 11.44 minutes
Epoch #60: train loss = 0.687303, val loss = 0.188975, total loss = 0.324883, Epoch time: 0.73 seconds, remaining time: 11.46 minutes
Epoch #61: train loss = 0.764075, val loss = 0.268242, total loss = 0.403469, Epoch time: 0.73 seconds, remaining time: 11.45 minutes
Epoch #62: train loss = 0.614301, val loss = 0.185631, total loss = 0.302541, Epoch time: 0.75 seconds, remaining time: 11.46 minutes
Epoch #63: train loss = 0.582814, val loss = 0.160170, total loss = 0.275437, Epoch time: 0.74 seconds, remaining time: 11.47 minutes
Epoch #64: train loss = 0.627150, val loss = 0.231791, total loss = 0.339616, Epoch time: 0.75 seconds, remaining time: 11.49 minutes
Epoch #65: train loss = 0.556399, val loss = 0.167371, total loss = 0.273469, Epoch time: 0.83 seconds, remaining time: 11.61 minutes
Epoch #66: train loss = 0.652725, val loss = 0.226279, total loss = 0.342582, Epoch time: 0.76 seconds, remaining time: 11.63 minutes
Epoch #67: train loss = 0.608816, val loss = 0.195232, total loss = 0.308027, Epoch time: 0.78 seconds, remaining time: 11.69 minutes
Epoch #68: train loss = 0.685339, val loss = 0.214043, total loss = 0.342578, Epoch time: 0.75 seconds, remaining time: 11.70 minutes
Epoch #69: train loss = 0.648014, val loss = 0.181546, total loss = 0.308765, Epoch time: 0.79 seconds, remaining time: 11.78 minutes
Epoch #70: train loss = 0.700475, val loss = 0.215968, total loss = 0.348106, Epoch time: 0.75 seconds, remaining time: 11.80 minutes
Epoch #71: train loss = 0.583658, val loss = 0.166390, total loss = 0.280190, Epoch time: 0.74 seconds, remaining time: 11.79 minutes
Epoch #72: train loss = 0.675872, val loss = 0.193095, total loss = 0.324762, Epoch time: 0.74 seconds, remaining time: 11.76 minutes
Epoch #73: train loss = 0.650414, val loss = 0.177075, total loss = 0.306167, Epoch time: 0.74 seconds, remaining time: 11.75 minutes
Epoch #74: train loss = 0.685538, val loss = 0.206826, total loss = 0.337383, Epoch time: 0.73 seconds, remaining time: 11.71 minutes
Epoch #75: train loss = 0.587283, val loss = 0.203917, total loss = 0.308472, Epoch time: 1.17 seconds, remaining time: 12.22 minutes
Epoch #76: train loss = 0.488839, val loss = 0.167666, total loss = 0.255259, Epoch time: 0.84 seconds, remaining time: 12.33 minutes
Epoch #77: train loss = 0.726766, val loss = 0.287205, total loss = 0.407085, Epoch time: 0.80 seconds, remaining time: 12.35 minutes
Epoch #78: train loss = 0.590595, val loss = 0.197923, total loss = 0.305015, Epoch time: 0.80 seconds, remaining time: 12.41 minutes
Epoch #79: train loss = 0.614003, val loss = 0.174978, total loss = 0.294712, Epoch time: 0.78 seconds, remaining time: 12.38 minutes
Epoch #80: train loss = 0.610908, val loss = 0.223134, total loss = 0.328891, Epoch time: 0.90 seconds, remaining time: 12.60 minutes
Epoch #81: train loss = 0.657457, val loss = 0.191452, total loss = 0.318544, Epoch time: 0.85 seconds, remaining time: 12.75 minutes
Epoch #82: train loss = 0.561790, val loss = 0.187901, total loss = 0.289871, Epoch time: 0.87 seconds, remaining time: 12.94 minutes
Epoch #83: train loss = 0.662188, val loss = 0.206719, total loss = 0.330938, Epoch time: 0.81 seconds, remaining time: 13.04 minutes
Epoch #84: train loss = 0.546199, val loss = 0.191731, total loss = 0.288404, Epoch time: 0.80 seconds, remaining time: 13.13 minutes
Epoch #85: train loss = 0.480351, val loss = 0.163828, total loss = 0.250152, Epoch time: 0.83 seconds, remaining time: 12.59 minutes
Epoch #86: train loss = 0.531892, val loss = 0.194261, total loss = 0.286342, Epoch time: 0.80 seconds, remaining time: 12.53 minutes
Epoch #87: train loss = 0.636690, val loss = 0.184373, total loss = 0.307732, Epoch time: 0.84 seconds, remaining time: 12.58 minutes
Epoch #88: train loss = 0.508635, val loss = 0.164243, total loss = 0.258168, Epoch time: 0.93 seconds, remaining time: 12.78 minutes
Epoch #89: train loss = 0.483678, val loss = 0.157225, total loss = 0.246257, Epoch time: 0.89 seconds, remaining time: 12.93 minutes
Epoch #90: train loss = 0.467540, val loss = 0.143429, total loss = 0.231823, Epoch time: 0.88 seconds, remaining time: 12.89 minutes
Epoch #91: train loss = 0.539635, val loss = 0.193428, total loss = 0.287848, Epoch time: 0.95 seconds, remaining time: 13.03 minutes
