Dataset: AtrialFibrillation
Arguments: Namespace(batch_size=8, dataset='AtrialFibrillation', epochs=1000, eval=True, gpu=1, irregular=0, iters=None, loader='UEA', lr=0.001, max_threads=8, max_train_length=3000, repr_dims=320, run_name='UEA', save_every=None, seed=42)
Loading data... done
Epoch #46: train loss = 2.924606, val loss = 2.366514, total loss = 2.645560, Epoch time: 0.05 seconds, remaining time: 0.81 minutes
Epoch #47: train loss = 2.759268, val loss = 2.825999, total loss = 2.792634, Epoch time: 0.05 seconds, remaining time: 0.81 minutes
Epoch #48: train loss = 2.833559, val loss = 2.337029, total loss = 2.585294, Epoch time: 0.05 seconds, remaining time: 0.81 minutes
Epoch #49: train loss = 2.607697, val loss = 2.649463, total loss = 2.628580, Epoch time: 0.05 seconds, remaining time: 0.80 minutes
Epoch #50: train loss = 2.796968, val loss = 2.801426, total loss = 2.799197, Epoch time: 0.05 seconds, remaining time: 0.80 minutes
Epoch #51: train loss = 2.995572, val loss = 2.396690, total loss = 2.696131, Epoch time: 0.05 seconds, remaining time: 0.80 minutes
Epoch #52: train loss = 3.063810, val loss = 3.005601, total loss = 3.034705, Epoch time: 0.05 seconds, remaining time: 0.81 minutes
Epoch #53: train loss = 2.944153, val loss = 2.816442, total loss = 2.880298, Epoch time: 0.06 seconds, remaining time: 0.82 minutes
Epoch #54: train loss = 2.929274, val loss = 2.294092, total loss = 2.611683, Epoch time: 0.05 seconds, remaining time: 0.81 minutes
Epoch #55: train loss = 2.928428, val loss = 2.834191, total loss = 2.881310, Epoch time: 0.06 seconds, remaining time: 0.82 minutes
Epoch #56: train loss = 2.973176, val loss = 2.347845, total loss = 2.660511, Epoch time: 0.05 seconds, remaining time: 0.82 minutes
Epoch #57: train loss = 2.258566, val loss = 2.860053, total loss = 2.559309, Epoch time: 0.04 seconds, remaining time: 0.81 minutes
Epoch #58: train loss = 2.919497, val loss = 2.776462, total loss = 2.847979, Epoch time: 0.05 seconds, remaining time: 0.82 minutes
Epoch #59: train loss = 2.656592, val loss = 2.345812, total loss = 2.501202, Epoch time: 0.05 seconds, remaining time: 0.82 minutes
Epoch #60: train loss = 2.894888, val loss = 2.865540, total loss = 2.880214, Epoch time: 0.05 seconds, remaining time: 0.82 minutes
Epoch #61: train loss = 2.901417, val loss = 2.655801, total loss = 2.778609, Epoch time: 0.05 seconds, remaining time: 0.82 minutes
Epoch #62: train loss = 2.903112, val loss = 2.723722, total loss = 2.813417, Epoch time: 0.05 seconds, remaining time: 0.82 minutes
Epoch #63: train loss = 2.393307, val loss = 2.184499, total loss = 2.288903, Epoch time: 0.04 seconds, remaining time: 0.80 minutes
Epoch #64: train loss = 2.997242, val loss = 3.071838, total loss = 3.034540, Epoch time: 0.05 seconds, remaining time: 0.79 minutes
Epoch #65: train loss = 2.663808, val loss = 2.507173, total loss = 2.585490, Epoch time: 0.05 seconds, remaining time: 0.78 minutes
Epoch #66: train loss = 2.773576, val loss = 2.848031, total loss = 2.810803, Epoch time: 0.05 seconds, remaining time: 0.78 minutes
Epoch #67: train loss = 2.732919, val loss = 3.027028, total loss = 2.879974, Epoch time: 0.05 seconds, remaining time: 0.79 minutes
Epoch #68: train loss = 2.170410, val loss = 3.055279, total loss = 2.612844, Epoch time: 0.05 seconds, remaining time: 0.78 minutes
Epoch #69: train loss = 2.425172, val loss = 2.564594, total loss = 2.494883, Epoch time: 0.05 seconds, remaining time: 0.77 minutes
Epoch #70: train loss = 2.950198, val loss = 2.697214, total loss = 2.823706, Epoch time: 0.05 seconds, remaining time: 0.77 minutes
Epoch #71: train loss = 2.867249, val loss = 2.923161, total loss = 2.895205, Epoch time: 0.05 seconds, remaining time: 0.77 minutes
Epoch #72: train loss = 2.896598, val loss = 2.889452, total loss = 2.893025, Epoch time: 0.05 seconds, remaining time: 0.77 minutes
Epoch #73: train loss = 2.852318, val loss = 2.228344, total loss = 2.540331, Epoch time: 0.05 seconds, remaining time: 0.77 minutes
Epoch #74: train loss = 2.495399, val loss = 2.761164, total loss = 2.628281, Epoch time: 0.05 seconds, remaining time: 0.77 minutes
Epoch #75: train loss = 2.844431, val loss = 3.158545, total loss = 3.001488, Epoch time: 0.06 seconds, remaining time: 0.78 minutes
Epoch #76: train loss = 2.489131, val loss = 2.736202, total loss = 2.612667, Epoch time: 0.05 seconds, remaining time: 0.78 minutes
Epoch #77: train loss = 2.472530, val loss = 2.722022, total loss = 2.597276, Epoch time: 0.05 seconds, remaining time: 0.77 minutes
Epoch #78: train loss = 2.689668, val loss = 2.225947, total loss = 2.457807, Epoch time: 0.05 seconds, remaining time: 0.78 minutes
Epoch #79: train loss = 2.593700, val loss = 2.670097, total loss = 2.631899, Epoch time: 0.05 seconds, remaining time: 0.77 minutes
Epoch #80: train loss = 2.817725, val loss = 2.322573, total loss = 2.570149, Epoch time: 0.05 seconds, remaining time: 0.78 minutes
Epoch #81: train loss = 2.290442, val loss = 2.247999, total loss = 2.269220, Epoch time: 0.04 seconds, remaining time: 0.76 minutes
Epoch #82: train loss = 2.861699, val loss = 2.236262, total loss = 2.548981, Epoch time: 0.05 seconds, remaining time: 0.76 minutes
