Dataset: NATOPS
Arguments: Namespace(batch_size=8, dataset='NATOPS', epochs=1000, eval=True, gpu=1, irregular=0, iters=None, loader='UEA', lr=0.001, max_threads=8, max_train_length=3000, repr_dims=320, run_name='UEA', save_every=None, seed=42)
Loading data... done
Epoch #46: train loss = 0.497894, val loss = 0.075600, total loss = 0.286747, Epoch time: 0.69 seconds, remaining time: 10.80 minutes
Epoch #47: train loss = 0.478642, val loss = 0.060071, total loss = 0.269357, Epoch time: 0.72 seconds, remaining time: 10.90 minutes
Epoch #48: train loss = 0.569661, val loss = 0.116016, total loss = 0.342838, Epoch time: 0.67 seconds, remaining time: 10.90 minutes
Epoch #49: train loss = 0.695200, val loss = 0.125477, total loss = 0.410338, Epoch time: 0.67 seconds, remaining time: 10.89 minutes
Epoch #50: train loss = 0.681917, val loss = 0.169800, total loss = 0.425858, Epoch time: 0.68 seconds, remaining time: 10.90 minutes
Epoch #51: train loss = 0.646272, val loss = 0.098924, total loss = 0.372598, Epoch time: 0.74 seconds, remaining time: 10.98 minutes
Epoch #52: train loss = 0.461210, val loss = 0.069548, total loss = 0.265379, Epoch time: 0.79 seconds, remaining time: 11.12 minutes
Epoch #53: train loss = 0.688957, val loss = 0.122321, total loss = 0.405639, Epoch time: 0.77 seconds, remaining time: 11.22 minutes
Epoch #54: train loss = 0.644031, val loss = 0.095401, total loss = 0.369716, Epoch time: 0.72 seconds, remaining time: 11.25 minutes
Epoch #55: train loss = 0.585058, val loss = 0.097582, total loss = 0.341320, Epoch time: 0.74 seconds, remaining time: 11.33 minutes
Epoch #56: train loss = 0.516121, val loss = 0.082194, total loss = 0.299158, Epoch time: 0.80 seconds, remaining time: 11.48 minutes
Epoch #57: train loss = 0.493461, val loss = 0.076706, total loss = 0.285084, Epoch time: 0.76 seconds, remaining time: 11.53 minutes
Epoch #58: train loss = 0.564982, val loss = 0.094887, total loss = 0.329934, Epoch time: 0.76 seconds, remaining time: 11.66 minutes
