Dataset: ArticularyWordRecognition
Arguments: Namespace(batch_size=8, dataset='ArticularyWordRecognition', epochs=1000, eval=True, gpu=0, irregular=0, iters=None, loader='UEA', lr=0.001, max_threads=8, max_train_length=3000, repr_dims=320, run_name='UEA', save_every=None, seed=42)
Loading data... done
Epoch #46: train loss = 0.597380, val loss = 0.086337, total loss = 0.331062, Epoch time: 1.09 seconds, remaining time: 18.11 minutes
Epoch #47: train loss = 0.443646, val loss = 0.055559, total loss = 0.241404, Epoch time: 1.10 seconds, remaining time: 18.02 minutes
Epoch #48: train loss = 0.564148, val loss = 0.074768, total loss = 0.309119, Epoch time: 1.05 seconds, remaining time: 17.87 minutes
Epoch #49: train loss = 0.529576, val loss = 0.077310, total loss = 0.293888, Epoch time: 1.07 seconds, remaining time: 17.71 minutes
Epoch #50: train loss = 0.583581, val loss = 0.085795, total loss = 0.324171, Epoch time: 1.06 seconds, remaining time: 17.54 minutes
Epoch #51: train loss = 0.515805, val loss = 0.064822, total loss = 0.280785, Epoch time: 1.04 seconds, remaining time: 17.39 minutes
Epoch #52: train loss = 0.550589, val loss = 0.078448, total loss = 0.304544, Epoch time: 1.06 seconds, remaining time: 17.26 minutes
Epoch #53: train loss = 0.545897, val loss = 0.057461, total loss = 0.291360, Epoch time: 1.05 seconds, remaining time: 17.06 minutes
Epoch #54: train loss = 0.523859, val loss = 0.076025, total loss = 0.290481, Epoch time: 1.05 seconds, remaining time: 16.85 minutes
Epoch #55: train loss = 0.472285, val loss = 0.055100, total loss = 0.254879, Epoch time: 1.07 seconds, remaining time: 16.74 minutes
Epoch #56: train loss = 0.518358, val loss = 0.084701, total loss = 0.292368, Epoch time: 1.07 seconds, remaining time: 16.69 minutes
Epoch #57: train loss = 0.549354, val loss = 0.092390, total loss = 0.311218, Epoch time: 1.04 seconds, remaining time: 16.57 minutes
Epoch #58: train loss = 0.554024, val loss = 0.066585, total loss = 0.300006, Epoch time: 1.07 seconds, remaining time: 16.59 minutes
Epoch #59: train loss = 0.479545, val loss = 0.063776, total loss = 0.262877, Epoch time: 1.08 seconds, remaining time: 16.59 minutes
Epoch #60: train loss = 0.631484, val loss = 0.119359, total loss = 0.364602, Epoch time: 1.04 seconds, remaining time: 16.54 minutes
Epoch #61: train loss = 0.582304, val loss = 0.063961, total loss = 0.312182, Epoch time: 1.06 seconds, remaining time: 16.55 minutes
Epoch #62: train loss = 0.635340, val loss = 0.112356, total loss = 0.362799, Epoch time: 1.08 seconds, remaining time: 16.56 minutes
Epoch #63: train loss = 0.556342, val loss = 0.070747, total loss = 0.303286, Epoch time: 1.06 seconds, remaining time: 16.56 minutes
Epoch #64: train loss = 0.463835, val loss = 0.058243, total loss = 0.252470, Epoch time: 1.08 seconds, remaining time: 16.59 minutes
Epoch #65: train loss = 0.479987, val loss = 0.061526, total loss = 0.261916, Epoch time: 1.03 seconds, remaining time: 16.52 minutes
Epoch #66: train loss = 0.471062, val loss = 0.045633, total loss = 0.249359, Epoch time: 1.07 seconds, remaining time: 16.51 minutes
