Dataset: Epilepsy
Arguments: Namespace(batch_size=8, dataset='Epilepsy', epochs=1000, eval=True, gpu=1, irregular=0, iters=None, loader='UEA', lr=0.001, max_threads=8, max_train_length=3000, repr_dims=320, run_name='UEA', save_every=None, seed=42)
Loading data... done
Epoch #46: train loss = 1.116950, val loss = 0.229952, total loss = 0.673451, Epoch time: 0.97 seconds, remaining time: 15.41 minutes
Epoch #47: train loss = 1.078335, val loss = 0.164157, total loss = 0.621246, Epoch time: 0.97 seconds, remaining time: 15.39 minutes
Epoch #48: train loss = 1.118611, val loss = 0.219089, total loss = 0.668850, Epoch time: 0.97 seconds, remaining time: 15.37 minutes
Epoch #49: train loss = 1.084303, val loss = 0.235763, total loss = 0.660033, Epoch time: 0.97 seconds, remaining time: 15.35 minutes
Epoch #50: train loss = 1.136611, val loss = 0.258946, total loss = 0.697779, Epoch time: 0.97 seconds, remaining time: 15.32 minutes
Epoch #51: train loss = 1.122375, val loss = 0.226273, total loss = 0.674324, Epoch time: 0.97 seconds, remaining time: 15.31 minutes
Epoch #52: train loss = 1.120393, val loss = 0.208337, total loss = 0.664365, Epoch time: 0.97 seconds, remaining time: 15.29 minutes
Epoch #53: train loss = 1.039351, val loss = 0.160308, total loss = 0.599830, Epoch time: 0.97 seconds, remaining time: 15.27 minutes
Epoch #54: train loss = 1.029690, val loss = 0.146338, total loss = 0.588014, Epoch time: 0.97 seconds, remaining time: 15.25 minutes
Epoch #55: train loss = 1.102555, val loss = 0.254222, total loss = 0.678388, Epoch time: 0.97 seconds, remaining time: 15.22 minutes
Epoch #56: train loss = 1.026841, val loss = 0.177568, total loss = 0.602204, Epoch time: 0.97 seconds, remaining time: 15.21 minutes
Epoch #57: train loss = 0.984448, val loss = 0.168477, total loss = 0.576462, Epoch time: 0.97 seconds, remaining time: 15.19 minutes
Epoch #58: train loss = 1.068191, val loss = 0.174802, total loss = 0.621497, Epoch time: 0.97 seconds, remaining time: 15.17 minutes
Epoch #59: train loss = 0.934810, val loss = 0.151746, total loss = 0.543278, Epoch time: 0.97 seconds, remaining time: 15.15 minutes
Epoch #60: train loss = 0.995803, val loss = 0.178228, total loss = 0.587015, Epoch time: 0.97 seconds, remaining time: 15.14 minutes
Epoch #61: train loss = 1.005135, val loss = 0.158309, total loss = 0.581722, Epoch time: 0.97 seconds, remaining time: 15.12 minutes
Epoch #62: train loss = 1.055108, val loss = 0.158895, total loss = 0.607001, Epoch time: 0.97 seconds, remaining time: 15.10 minutes
Epoch #63: train loss = 1.008500, val loss = 0.186460, total loss = 0.597480, Epoch time: 0.97 seconds, remaining time: 15.08 minutes
Epoch #64: train loss = 1.034724, val loss = 0.159885, total loss = 0.597305, Epoch time: 0.97 seconds, remaining time: 15.06 minutes
Epoch #65: train loss = 0.908950, val loss = 0.147310, total loss = 0.528130, Epoch time: 0.97 seconds, remaining time: 15.04 minutes
Epoch #66: train loss = 1.016727, val loss = 0.132002, total loss = 0.574365, Epoch time: 0.97 seconds, remaining time: 15.01 minutes
Epoch #67: train loss = 1.027132, val loss = 0.150894, total loss = 0.589013, Epoch time: 0.96 seconds, remaining time: 14.98 minutes
Epoch #68: train loss = 0.989459, val loss = 0.166235, total loss = 0.577847, Epoch time: 0.96 seconds, remaining time: 14.95 minutes
Epoch #69: train loss = 0.933081, val loss = 0.153024, total loss = 0.543053, Epoch time: 0.96 seconds, remaining time: 14.92 minutes
Epoch #70: train loss = 1.022449, val loss = 0.162121, total loss = 0.592285, Epoch time: 0.96 seconds, remaining time: 14.89 minutes
Epoch #71: train loss = 1.014298, val loss = 0.180156, total loss = 0.597227, Epoch time: 0.96 seconds, remaining time: 14.87 minutes
Epoch #72: train loss = 1.011998, val loss = 0.157850, total loss = 0.584924, Epoch time: 0.96 seconds, remaining time: 14.84 minutes
Epoch #73: train loss = 0.992477, val loss = 0.148966, total loss = 0.570721, Epoch time: 0.96 seconds, remaining time: 14.82 minutes
Epoch #74: train loss = 1.047586, val loss = 0.137788, total loss = 0.592687, Epoch time: 0.96 seconds, remaining time: 14.79 minutes
