Dataset: StandWalkJump
Arguments: Namespace(batch_size=8, dataset='StandWalkJump', epochs=1000, eval=True, gpu=1, irregular=0, iters=None, loader='UEA', lr=0.001, max_threads=8, max_train_length=3000, repr_dims=320, run_name='UEA', save_every=None, seed=42)
Loading data... done
Epoch #46: train loss = 2.843320, val loss = 6.074760, total loss = 4.459040, Epoch time: 0.24 seconds, remaining time: 2.84 minutes
Epoch #47: train loss = 2.869233, val loss = 5.090910, total loss = 3.980071, Epoch time: 0.17 seconds, remaining time: 2.71 minutes
Epoch #48: train loss = 2.848068, val loss = 2.415929, total loss = 2.631998, Epoch time: 0.19 seconds, remaining time: 2.77 minutes
Epoch #49: train loss = 2.529079, val loss = 2.807174, total loss = 2.668127, Epoch time: 0.11 seconds, remaining time: 2.58 minutes
Epoch #50: train loss = 2.892645, val loss = 6.073718, total loss = 4.483181, Epoch time: 0.14 seconds, remaining time: 2.54 minutes
Epoch #51: train loss = 2.790803, val loss = 6.688928, total loss = 4.739866, Epoch time: 0.11 seconds, remaining time: 2.46 minutes
Epoch #52: train loss = 2.716530, val loss = 2.620706, total loss = 2.668618, Epoch time: 0.22 seconds, remaining time: 2.60 minutes
Epoch #53: train loss = 2.973813, val loss = 2.643980, total loss = 2.808896, Epoch time: 0.13 seconds, remaining time: 2.63 minutes
Epoch #54: train loss = 2.784617, val loss = 6.727767, total loss = 4.756192, Epoch time: 0.12 seconds, remaining time: 2.53 minutes
Epoch #55: train loss = 2.766077, val loss = 5.582180, total loss = 4.174128, Epoch time: 0.15 seconds, remaining time: 2.48 minutes
Epoch #56: train loss = 2.749952, val loss = 2.235300, total loss = 2.492626, Epoch time: 0.11 seconds, remaining time: 2.27 minutes
Epoch #57: train loss = 2.773745, val loss = 3.234059, total loss = 3.003902, Epoch time: 0.22 seconds, remaining time: 2.35 minutes
Epoch #58: train loss = 2.571055, val loss = 6.232580, total loss = 4.401817, Epoch time: 0.11 seconds, remaining time: 2.23 minutes
Epoch #59: train loss = 2.729482, val loss = 3.003541, total loss = 2.866511, Epoch time: 0.21 seconds, remaining time: 2.39 minutes
Epoch #60: train loss = 2.844330, val loss = 2.783264, total loss = 2.813797, Epoch time: 0.17 seconds, remaining time: 2.44 minutes
Epoch #61: train loss = 2.611458, val loss = 3.134238, total loss = 2.872848, Epoch time: 0.20 seconds, remaining time: 2.58 minutes
Epoch #62: train loss = 2.758011, val loss = 5.780560, total loss = 4.269286, Epoch time: 0.13 seconds, remaining time: 2.43 minutes
Epoch #63: train loss = 2.816738, val loss = 6.677057, total loss = 4.746897, Epoch time: 0.24 seconds, remaining time: 2.60 minutes
Epoch #64: train loss = 2.585488, val loss = 6.744825, total loss = 4.665156, Epoch time: 0.13 seconds, remaining time: 2.62 minutes
Epoch #65: train loss = 2.492538, val loss = 6.834323, total loss = 4.663430, Epoch time: 0.11 seconds, remaining time: 2.55 minutes
Epoch #66: train loss = 2.679067, val loss = 2.564202, total loss = 2.621635, Epoch time: 0.19 seconds, remaining time: 2.67 minutes
Epoch #67: train loss = 2.467635, val loss = 3.066636, total loss = 2.767135, Epoch time: 0.11 seconds, remaining time: 2.50 minutes
Epoch #68: train loss = 2.671498, val loss = 8.411338, total loss = 5.541418, Epoch time: 0.20 seconds, remaining time: 2.64 minutes
Epoch #69: train loss = 2.262676, val loss = 2.784627, total loss = 2.523651, Epoch time: 0.10 seconds, remaining time: 2.46 minutes
Epoch #70: train loss = 2.552223, val loss = 6.176546, total loss = 4.364385, Epoch time: 0.23 seconds, remaining time: 2.55 minutes
Epoch #71: train loss = 2.618278, val loss = 2.989662, total loss = 2.803970, Epoch time: 0.23 seconds, remaining time: 2.58 minutes
Epoch #72: train loss = 2.778284, val loss = 6.544098, total loss = 4.661191, Epoch time: 0.19 seconds, remaining time: 2.67 minutes
Epoch #73: train loss = 2.635037, val loss = 8.509602, total loss = 5.572319, Epoch time: 0.17 seconds, remaining time: 2.55 minutes
Epoch #74: train loss = 2.611346, val loss = 3.313251, total loss = 2.962298, Epoch time: 0.15 seconds, remaining time: 2.57 minutes
Epoch #75: train loss = 2.691150, val loss = 8.245641, total loss = 5.468395, Epoch time: 0.13 seconds, remaining time: 2.60 minutes
Epoch #76: train loss = 2.705554, val loss = 2.954210, total loss = 2.829882, Epoch time: 0.18 seconds, remaining time: 2.59 minutes
Epoch #77: train loss = 2.635482, val loss = 2.692993, total loss = 2.664237, Epoch time: 0.11 seconds, remaining time: 2.60 minutes
Epoch #78: train loss = 2.506260, val loss = 7.669186, total loss = 5.087723, Epoch time: 0.22 seconds, remaining time: 2.62 minutes
Epoch #79: train loss = 2.444913, val loss = 7.881355, total loss = 5.163134, Epoch time: 0.25 seconds, remaining time: 2.86 minutes
Epoch #80: train loss = 2.728320, val loss = 2.739510, total loss = 2.733915, Epoch time: 0.13 seconds, remaining time: 2.69 minutes
Epoch #81: train loss = 2.392433, val loss = 2.344948, total loss = 2.368690, Epoch time: 0.11 seconds, remaining time: 2.52 minutes
Epoch #82: train loss = 2.473123, val loss = 8.018087, total loss = 5.245605, Epoch time: 0.22 seconds, remaining time: 2.56 minutes
Epoch #83: train loss = 2.864596, val loss = 2.337218, total loss = 2.600907, Epoch time: 0.16 seconds, remaining time: 2.54 minutes
Epoch #84: train loss = 2.642567, val loss = 7.524597, total loss = 5.083582, Epoch time: 0.14 seconds, remaining time: 2.53 minutes
Epoch #85: train loss = 2.456159, val loss = 3.013978, total loss = 2.735068, Epoch time: 0.10 seconds, remaining time: 2.49 minutes
Epoch #86: train loss = 2.406445, val loss = 8.287916, total loss = 5.347181, Epoch time: 0.14 seconds, remaining time: 2.42 minutes
Epoch #87: train loss = 2.601303, val loss = 9.677656, total loss = 6.139479, Epoch time: 0.15 seconds, remaining time: 2.48 minutes
Epoch #88: train loss = 2.891958, val loss = 1.880942, total loss = 2.386450, Epoch time: 0.13 seconds, remaining time: 2.33 minutes
Epoch #89: train loss = 2.491414, val loss = 9.712456, total loss = 6.101935, Epoch time: 0.16 seconds, remaining time: 2.19 minutes
Epoch #90: train loss = 2.193208, val loss = 3.144268, total loss = 2.668738, Epoch time: 0.11 seconds, remaining time: 2.16 minutes
Epoch #91: train loss = 2.611096, val loss = 8.581135, total loss = 5.596115, Epoch time: 0.13 seconds, remaining time: 2.18 minutes
